dL,L_b,L_d,T_bd,lambda
40.984458018380046,37.00818544863579,77.99264346701584,81,0.013277699382542984
17.968980643236662,36.324243056865136,54.2932237001018,42,0.013805700307972537
33.2692219229881,24.996800299514874,58.266022222502976,90,0.01356568207725556
26.2319912275736,26.474781445071564,52.706772672645165,66,0.015051054265634516
23.927763728599185,26.3085538853522,50.236317613951385,72,0.012961093990762708
15.160590798421751,38.34361232227976,53.50420312070151,33,0.014565635482326393
17.06460445946798,38.93739406019873,56.00199851966671,33,0.015888544849723265
25.26871610933215,27.962029139864814,53.230745249196964,66,0.014072586470986182
31.25029508090529,27.892892879867595,59.143187960772885,84,0.012908505246329796
32.75820552289635,22.35288503354983,55.11109055644618,99,0.013150319468129392
30.00279487874213,27.158428178682527,57.16122305742466,84,0.012781390488086356
25.6511045656831,26.266586255158984,51.91769082084208,78,0.012602532111013086
28.28611820902002,29.274285094352837,57.56040330337286,72,0.013547816129634294
28.071308614302822,31.51275629464039,59.58406490894321,78,0.011781930807707489
25.687210909985666,29.061244794254975,54.74845570424064,69,0.013242344508478048
21.743314036955923,24.270792163825668,46.01410620078159,72,0.012817430673107
25.071731266225296,29.05048761245536,54.122218878680656,66,0.013600888000406458
32.65115390264181,27.22477265146053,59.875926554102335,87,0.013069610054765335
46.36884882661648,27.83090302486611,74.19975185148259,144,0.009824490567222722
32.443178841947386,26.904674267726943,59.34785310967433,81,0.014090604955950081
33.31694799139861,25.448735347931514,58.76568333933012,99,0.012195757209444609
19.212404529528918,35.280902974568775,54.49330750409769,54,0.011614658764996
25.28167006327735,29.00261943978796,54.28428950306531,69,0.013106543759420448
29.416364491092317,39.722377152288836,69.13874164338115,63,0.012691148949354525
25.021438379708435,34.635997498045676,59.65743587775411,51,0.015380975443104277
29.223300260347887,28.1827260103335,57.40602627068139,132,0.007775689611161777
25.55296294100479,26.893996659953782,52.44695960095857,90,0.010706388598353938
22.44610182928044,25.019382400595834,47.465484229876274,72,0.012831008666102199
24.23251536910286,26.679653523016537,50.912168892119396,78,0.011952187124105099
24.789124890952188,32.92430395039924,57.71342884135143,60,0.013495901755110066
40.89346849605832,25.094516800218685,65.987985296277,132,0.010566903060400904
28.127439650190393,24.715251007396045,52.84269065758644,99,0.01107376130753765
26.739259452968923,29.726932169055708,56.46619162202463,63,0.014692329323707273
21.779000687638696,28.592009923360227,50.37101061099892,57,0.014333011164403157
24.111434379282528,23.391850968065093,47.50328534734762,75,0.013626950258981769
29.77529291580193,25.338636047131562,55.11392896293349,84,0.013346167975489109
27.83448303171809,26.010445693507936,53.844928725226026,81,0.012959498192040416
24.708882604914074,36.82347452303794,61.53235712795201,54,0.013717027755073457
28.80604766930634,23.239458810228346,52.04550647953469,90,0.01292441263053458
32.717865008077325,29.166115239977284,61.88398024805461,90,0.01205858611784342
25.44196871722973,30.708860265405608,56.15082898263534,69,0.012618150045857071
18.478109341889763,32.35296574034876,50.83107508223852,54,0.012070606974353472
19.05692486574332,37.2243880134664,56.28131287920972,45,0.013253507831756002
27.38660895089503,25.717625675215274,53.104234626110305,96,0.010896556808384153
35.00348618941017,27.919736159752322,62.923222349162494,87,0.013474795931237415
31.989589841641116,25.563071249216375,57.55266109085749,111,0.010547941069155874
37.46709858650388,22.481766075132132,59.94886466163601,111,0.012747541074708492
27.222586076868797,29.77003160973729,56.99261768660609,93,0.010074347356505031
30.1554131680601,25.454013292951657,55.60942646101176,102,0.011053297216414968
25.061318768764817,29.46454277503079,54.52586154379561,69,0.012868996835548364
29.199037241521868,30.283139533629285,59.48217677515115,78,0.012486444400967082
31.357354458998103,28.026582376982986,59.38393683598109,81,0.013373789009035972
28.098036877390626,24.43830766773509,52.536344545125715,87,0.012691625732235475
40.066788811411456,27.911197308063976,67.97798611947543,108,0.011890959341516188
32.652629520188974,28.324509541144046,60.97713906133302,99,0.011173914022988318
34.36325459380246,27.316142447240786,61.679397041043245,93,0.012634783866887558
30.18085903575028,27.034624210222503,57.215483245972784,93,0.011630078591779112
27.203065697800344,28.652680139348373,55.85574583714872,81,0.011889328443216031
30.0801862802281,31.218614482856967,61.29880076308507,93,0.010467229454800065
25.510398428533094,28.420241653966116,53.93064008249921,75,0.01232248446742066
45.41515449166953,33.07819565327009,78.49335014493963,129,0.009664262754113091
38.097629439230005,32.78087122529827,70.87850066452827,105,0.010595179887740128
37.25270142594253,31.094233383479466,68.346934809422,93,0.01221752246750502
31.1076727719163,22.291084885837066,53.398757657753364,87,0.01448665913288502
22.917073796538574,35.32952931666844,58.246603113207016,66,0.010928778587728932
29.72534222609419,33.432424905064174,63.157767131158366,87,0.010548415720373149
25.94058193835334,43.66658877097303,69.60717070932637,66,0.010192516715744133
20.481791998043256,33.799979232783464,54.28177123082672,54,0.01265639698170152
40.19834358325578,22.462836989034788,62.66118057229056,111,0.013333619854522194
31.058849683386676,39.97507262741188,71.03392231079856,102,0.008131446025633541
24.370888943145694,30.17031345085065,54.54120239399634,78,0.010951497697748655
35.135674256855054,23.20963658958174,58.345310846436796,144,0.009235366521764994
33.43066389357537,28.959343248694108,62.39000714226948,111,0.00997555035854011
25.418479923119826,38.89981477866318,64.318294701783,69,0.010513998121715506
23.36360715601369,29.818871233344407,53.182478389358096,84,0.009937206713734036
29.228101126381773,32.86496564621715,62.093066772598924,81,0.011331872976205833
32.15412314962029,29.215424115754868,61.36954726537516,84,0.012747532234163908
21.19053410570705,25.277158950260414,46.467693055967466,84,0.010457067889665703
20.542697617889587,26.536052847493025,47.07875046538261,84,0.009846693325704575
18.91271641997476,29.63621836058844,48.5489347805632,51,0.013962319076948794
18.71446132095315,32.065993522675484,50.78045484362863,69,0.009612017528584121
25.679725693993042,28.01030021462291,53.69002590861595,81,0.011588847589778397
26.020284594484025,29.742012337483793,55.76229693196782,75,0.012090503014522101
25.254809136212796,29.09185852153728,54.346667657750075,78,0.01155866809903043
24.35389434964335,24.232614877492,48.58650922713535,108,0.009292645304824482
45.238611071304646,29.69653023128249,74.93514130258714,120,0.011127900525901837
