dL,dL_bi,L_b,L_d,L_i,T_bd,T_bi,R_db,lambda
1.5937,0.4497,1.5176,3.1113,1.9673,258.0,90.0,2.0501449657353716,0.002851666666666667
1.8018,0.26480000000000015,1.5654,3.3672,1.8302,189.0,39.0,2.1510157148332696,0.003974999999999999
1.4014,0.3147,1.6455,3.0469,1.9602,189.0,48.0,1.851656031601337,0.0037433333333333338
1.5595999999999999,9.999999999998899e-05,1.7549,3.3145,1.755,132.0,0.0,1.8887116074990027,0.005175
2.1748,0.27869999999999995,1.5596,3.7344,1.8383,225.0,39.0,2.394460117978969,0.004103333333333333
2.4209,0.39869999999999983,1.5615,3.9824,1.9602,414.0,96.0,2.5503682356708293,0.00239
2.168,0.3325,2.0156,4.1836,2.3481,225.0,54.0,2.0756102401270096,0.0027916666666666667
1.6035,-0.22809999999999997,2.0156,3.6191,1.7875,105.0,-18.0,1.7955447509426472,0.00569
1.5674,0.21519999999999984,1.4951,3.0625,1.7103,132.0,27.0,2.0483579693665974,0.005235
1.8897,0.46399999999999997,1.3662,3.2559,1.8302,195.0,69.0,2.383179622310057,0.004201666666666667
1.7607,0.1402000000000001,1.626,3.3867,1.7662,147.0,18.0,2.0828413284132843,0.004691666666666666
1.377,0.06459999999999999,1.6914,3.0684,1.756,141.0,9.0,1.8141184817311102,0.0046816666666666664
1.4355,-0.12470000000000003,1.8848,3.3203,1.7601,153.0,-15.0,1.7616192699490663,0.004375
2.0977,0.3359000000000001,1.6953,3.793,2.0312,189.0,39.0,2.2373621187990325,0.004743333333333334
1.7109,0.19490000000000007,2.0801,3.791,2.275,246.0,36.0,1.8225085332435942,0.002416666666666667
1.5721999999999998,0.31899999999999973,1.8301,3.4023,2.1491,183.0,48.0,1.8590787388667285,0.0034533333333333334
1.5741999999999998,0.2677999999999998,1.8203,3.3945,2.0881,183.0,39.0,1.8648025050815797,0.0034616666666666667
1.9776000000000002,0.4035000000000002,1.8857,3.8633,2.2892,246.0,72.0,2.048735217691043,0.002725
2.0791000000000004,0.3942000000000001,1.96,4.0391,2.3542,195.0,48.0,2.060765306122449,0.0037300000000000002
1.6992000000000003,0.1990000000000003,2.0801,3.7793,2.2791,132.0,21.0,1.8168838036632855,0.00455
2.2539,0.4072,1.4961,3.75,1.9033,189.0,48.0,2.5065169440545416,0.0050416666666666665
1.7100000000000002,-0.0036000000000000476,1.8896,3.5996,1.886,111.0,-6.0,1.904953429297206,0.006108333333333333
1.9600000000000002,0.1984999999999999,1.8896,3.8496,2.0881,153.0,21.0,2.037256562235394,0.00474
1.6865,0.0,1.9541,3.6406,1.9541,111.0,0.0,1.863057161864797,0.005493333333333334
1.5166000000000002,0.1403000000000001,1.7549,3.2715,1.8952,141.0,15.0,1.8642087868254602,0.0048066666666666666
2.3251999999999997,0.3740999999999999,1.71,4.0352,2.0841,189.0,42.0,2.359766081871345,0.004745
1.9804,0.26819999999999977,1.7559,3.7363,2.0241,195.0,36.0,2.1278546614271883,0.0038466666666666666
1.8378999999999999,0.08000000000000007,1.9512,3.7891,2.0312,162.0,9.0,1.9419331693316932,0.004543333333333333
2.2909999999999995,0.37319999999999975,1.9668,4.2578,2.34,210.0,51.0,2.1648362822859464,0.003486666666666667
1.6348000000000003,-0.3891,2.4082,4.043,2.0191,126.0,-3.0,1.6788472718212775,0.004261666666666666
1.6835999999999998,0.3887999999999998,2.1543,3.8379,2.5431,183.0,48.0,1.7815067539339924,0.00337
2.0313,0.45050000000000034,2.0195,4.0508,2.47,204.0,57.0,2.0058430304530823,0.003568333333333334
2.4688000000000003,0.4655,2.0898,4.5586,2.5553,300.0,78.0,2.1813570676619776,0.0025366666666666667
3.3379,0.4808000000000001,1.4316,4.7695,1.9124,615.0,153.0,3.3315870354847723,0.0019016666666666665
2.0156,0.1262000000000003,2.3438,4.3594,2.47,258.0,24.0,1.8599709872856047,0.002296666666666667
1.4228,0.1200000000000001,1.96,3.3828,2.08,147.0,15.0,1.725918367346939,0.003881666666666667
2.0907999999999998,0.7866,1.5615,3.6523,2.3481,237.0,114.0,2.3389689401216778,0.003568333333333334
2.0098,0.7246999999999999,1.7656,3.7754,2.4903,225.0,111.0,2.1383099229723603,0.0030633333333333333
1.6943000000000001,0.40500000000000025,1.8213,3.5156,2.2263,168.0,51.0,1.930269587657168,0.003943333333333333
1.8378999999999999,0.13490000000000002,1.6953,3.5332,1.8302,174.0,18.0,2.084114905916357,0.0041066666666666665
1.669,0.11159999999999992,1.7744,3.4434,1.886,168.0,15.0,1.940599639314698,0.004123333333333334
1.8936,0.4071,1.6455,3.5391,2.0526,216.0,63.0,2.15077484047402,0.0035
1.9951999999999999,0.06380000000000008,1.8486,3.8438,1.9124,141.0,6.0,2.0793032565184464,0.005201666666666667
1.4471999999999998,0.13929999999999976,1.8848,3.332,2.0241,120.0,15.0,1.7678268251273344,0.004976666666666666
1.6172,-0.0005999999999999339,2.0156,3.6328,2.015,168.0,18.0,1.8023417344711252,0.0036666666666666666
1.6123,0.23140000000000005,1.8486,3.4609,2.08,168.0,33.0,1.8721735367304988,0.0036266666666666665
